district,district_hindi,district_nukta_hindi,district_english,district_transliteration,block,block_hindi,block_nukta_hindi,block_english,block_transliteration,gram_panchayat,gram_panchayat_english,village,village_english,composite_key,source_file,source_row_index
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Pardeshikapa,Pardeshikapa,Rangiyapara,Rangiyapara,mungelii|lormii|pardeshikapa|rangiyapara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598225
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Chilfi,Chilfi,Chilphi,Chilphi,mungelii|lormii|chilfi|chilphi,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598238
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Chilfi,Chilfi,Sahaspur,Sahaspur,mungelii|lormii|chilfi|sahaspur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598254
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Khaprikala,Khaprikala,Khapari Kalan,Khapari Kalan,mungelii|lormii|khaprikala|khapari kalan,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598259
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Dumarha,Dumarha,Dumrha,Dumrha,mungelii|lormii|dumarha|dumrha,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598357
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Baijalpur,Baijalpur,Baijalpur,Baijalpur,mungelii|lormii|baijalpur|baijalpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598587
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Salaheghori,Salaheghori,Salheghori,Salheghori,mungelii|lormii|salaheghori|salheghori,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598663
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Lagra,Lagra,Lagra,Lagra,mungelii|lormii|lagra|lagra,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598751
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Baghmar,Baghmar,Baghmar,Baghmar,mungelii|lormii|baghmar|baghmar,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598833
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Bhatha,Bhatha,Kukurhata,Kukurhata,mungelii|lormii|bhatha|kukurhata,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598883
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Salaheghori,Salaheghori,Raitrakalan,Raitrakalan,mungelii|lormii|salaheghori|raitrakalan,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598888
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Kosamtara,Kosamtara,Kosamtara,Kosamtara,mungelii|lormii|kosamtara|kosamtara,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598892
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Bhatha,Bhatha,Bhatha,Bhatha,mungelii|lormii|bhatha|bhatha,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,598999
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Singhanpuri,Singhanpuri,Sighanpuri,Sighanpuri,mungelii|lormii|singhanpuri|sighanpuri,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599037
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Mohdanda,Mohdanda,Belsari,Belsari,mungelii|lormii|mohdanda|belsari,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599097
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Mohdanda,Mohdanda,Ghosarra,Ghosarra,mungelii|lormii|mohdanda|ghosarra,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599104
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Singhanpuri,Singhanpuri,Manikpur,Manikpur,mungelii|lormii|singhanpuri|manikpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599151
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Singhanpuri,Singhanpuri,Banshapur,Banshapur,mungelii|lormii|singhanpuri|banshapur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599152
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Bhalukhodra,Bhalukhodra,Bhalukhodra,Bhalukhodra,mungelii|lormii|bhalukhodra|bhalukhodra,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599166
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Fulwarikala,Fulwarikala,Phulwari Kalan,Phulwari Kalan,mungelii|lormii|fulwarikala|phulwari kalan,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599217
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Gorakhpur,Gorakhpur,Gorakhpur,Gorakhpur,mungelii|lormii|gorakhpur|gorakhpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599477
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Mohdanda,Mohdanda,Mohdanda,Mohdanda,mungelii|lormii|mohdanda|mohdanda,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599595
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Koilari,Koilari,Koilari,Koilari,mungelii|lormii|koilari|koilari,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599746
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Gorakhpur,Gorakhpur,Bhakurkapa,Bhakurkapa,mungelii|lormii|gorakhpur|bhakurkapa,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599835
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Dindouri,Dindouri,Chikhaldah,Chikhaldah,mungelii|lormii|dindouri|chikhaldah,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,599906
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Dindori,Dindori,Dindouri,Dindouri,mungelii|lormii|dindori|dindouri,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,600049
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Surajpura,Surajpura,Surajpura,Surajpura,mungelii|lormii|surajpura|surajpura,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,600299
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Kalmidih,Kalmidih,Kalmidih,Kalmidih,mungelii|lormii|kalmidih|kalmidih,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,600345
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Barampur,Barampur,Barampur,Barampur,mungelii|lormii|barampur|barampur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,600488
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Ujiyarpur,Ujiyarpur,Bariyarpur,Bariyarpur,mungelii|lormii|ujiyarpur|bariyarpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,600550
मुंगेली,मुंगेली,मुंगेली,mungelii,mungelii,लोरमी,लोरमी,लोरमी,lormii,lormii,Ujiyarpur,Ujiyarpur,Ujiarpur,Ujiarpur,mungelii|lormii|ujiyarpur|ujiarpur,/Users/abhijita/Projects/Project_Dhruv/data/CG_Geo_1.xlsx,600570
